Movie Name,IMDB Rating,Rotten Tomatoes Users,Rotten Tomatoes Critics,Metacritic Users,Metacritic Critics
Touch of Evil,8.0,9.2,9.5,8.4,9.9
Seven Samurai,8.6,9.7,10.0,8.8,9.8
Pan's Labyrinth,8.2,9.1,9.5,8.6,9.8
Some Like It Hot,6.6,9.4,9.4,8.3,9.8
North by Northwest,8.3,9.4,9.7,8.0,9.8
Hoop Dreams,8.3,9.2,9.8,8.0,9.8
Rashomon,8.2,9.3,9.8,8.5,9.8
All About Eve,8.2,9.4,9.9,8.7,9.8
Jules and Jim,7.7,8.9,9.4,6.5,9.7
My Left Foot,7.8,9.2,9.8,8.3,9.7
Psycho,8.5,9.5,9.6,8.8,9.7
"4 Months, 3 Weeks and 2 Days",7.9,8.6,9.6,7.9,9.7
Battleship Potemkin,7.9,8.6,10.0,8.5,9.7
American Graffiti,7.4,8.4,9.6,7.4,9.7
12 Angry Men,9.0,9.7,10.0,8.8,9.7
Dumbo,7.2,4.8,4.5,7.7,9.6
Roma,7.3,7.2,9.6,7.7,9.6
Parasite,4.0,9.0,9.9,8.7,9.6
Spirited Away,8.6,9.6,9.7,8.9,9.6
Toy Story,8.3,9.2,10.0,8.8,9.6
Ran,8.2,9.5,9.6,8.4,9.6
Rosemary's Baby,8.0,8.7,9.6,8.3,9.6
12 Years a Slave,8.1,9.0,9.5,8.0,9.6
Manchester by the Sea,7.8,7.8,9.6,8.2,9.6
Nashville,7.6,8.4,9.1,8.0,9.6
Sansho the Bailiff,8.4,9.5,10.0,6.8,9.6
Ratatouille,8.1,8.7,9.6,8.6,9.6
Snow White and the Seven Dwarfs,7.6,7.8,9.7,8.1,9.6
Mean Streets,7.2,8.4,9.6,7.3,9.6
Gravity,8.1,7.9,9.6,7.8,9.6
Fantasia,7.7,8.3,9.5,8.3,9.6
Beauty and the Beast,5.1,9.0,9.5,8.3,9.5
Don't Look Now,6.6,7.6,9.4,6.8,9.5
My Fair Lady,7.7,9.0,9.4,7.4,9.5
I Am Not Your Negro,7.9,8.3,9.9,5.3,9.5
Rocks,7.6,8.1,9.7,6.6,9.5
Amour,7.9,8.2,9.3,8.1,9.5
Anatomy of a Murder,8.0,9.0,10.0,8.1,9.5
Zero Dark Thirty,7.4,8.0,9.1,6.9,9.5
Double Indemnity,8.3,9.5,9.7,8.6,9.5
Schindler's List,9.0,9.7,9.8,8.8,9.5
Pulp Fiction,8.9,9.6,9.2,9.0,9.5
Carol,6.5,7.4,9.4,7.9,9.4
Before Midnight,5.9,8.2,9.8,8.3,9.4
